Date,1,2,3,4,5,6,7
2020-03-12,5.3,8.3,12.7,21.5,24.1,12.6,15.4
2020-03-27,4.8,5.4,9.3,20.1,25.1,17.0,18.3
2020-04-13,2.4,3.0,7.5,14.5,23.1,19.6,29.9
2020-04-24,2.8,3.6,6.8,15.5,23.7,19.5,28.2
2020-05-15,7.2,7.6,14.7,23.6,24.9,10.4,11.5
2020-05-29,7.9,9.5,15.0,24.5,23.6,9.7,9.8
2020-06-12,10.6,11.1,17.4,25.0,20.9,7.6,7.5
2020-06-26,12.4,11.0,16.7,21.7,21.9,8.0,8.3
2020-07-17,10.2,8.7,12.8,19.9,23.4,12.3,12.6
2020-08-21,10.2,10.2,13.8,23.2,21.8,10.3,10.6
2020-09-19,12.5,13.5,16.6,21.6,19.1,9.4,7.4
2020-10-16,12.3,12.6,18.4,23.4,18.8,7.4,7.2
2020-11-20,9.4,8.6,12.5,19.0,24.0,12.3,14.2
2020-12-11,9.9,8.3,12.8,21.8,23.4,12.0,11.8
2021-01-22,8.1,9.8,13.8,23.1,23.5,10.7,11.0
2021-02-19,11.2,12.2,17.3,22.1,20.7,7.9,8.6
2021-03-26,10.6,10.4,16.7,22.9,22.2,8.5,8.7
2021-04-23,8.7,9.6,14.0,21.9,23.2,9.8,12.8
2021-05-28,10.6,9.8,15.3,22.1,21.6,9.0,11.7
2021-06-25,10.8,11.8,16.8,25.3,18.8,7.7,9.0
2021-07-30,10.9,10.4,14.8,21.6,20.8,10.7,10.9
2021-08-27,9.6,8.8,13.8,22.4,21.8,11.3,12.3
2021-09-24,11.3,11.4,17.2,23.6,20.2,7.7,8.6
2021-10-22,13.3,15.9,20.1,22.8,16.1,5.3,6.4
2021-11-26,15.0,15.9,20.0,23.0,15.1,5.3,5.6
2021-12-24,13.2,13.1,17.5,24.0,18.8,6.1,7.2
2022-01-28,8.7,8.6,14.0,20.8,22.0,12.0,13.9
2022-02-25,12.7,11.0,16.9,22.5,19.7,7.4,9.9
2022-03-25,14.9,12.3,19.3,22.8,17.8,6.2,6.6
2022-04-28,14.1,13.4,18.3,24.0,18.4,5.8,5.9
2022-05-27,15.1,14.5,19.4,24.5,14.5,5.4,6.6
2022-06-24,15.5,14.5,20.0,23.8,15.8,5.4,4.9
2022-07-22,11.9,9.3,14.5,21.6,21.6,10.4,10.6
2022-08-26,13.2,12.0,16.2,23.8,18.5,8.2,8.1
2022-09-22,13.6,14.3,18.7,25.4,16.2,5.5,6.4
2022-10-28,15.8,15.4,18.8,23.4,15.6,4.8,6.1
2022-11-25,11.0,14.2,19.0,25.1,18.0,6.6,6.0
2022-12-23,12.4,12.8,16.1,24.7,20.5,7.0,6.6
2023-01-27,13.8,16.0,19.0,25.0,15.4,5.4,5.5
2023-02-27,14.6,17.6,20.4,24.4,14.9,4.1,4.0
2023-03-24,15.2,17.6,20.4,23.6,14.0,4.9,4.2
2023-04-28,18.0,19.1,20.1,21.2,13.6,3.9,4.2
2023-05-26,17.9,18.6,18.5,24.7,12.4,4.4,3.5
2023-06-23,14.8,17.5,19.0,23.4,15.0,5.4,5.1
2023-08-25,10.1,11.8,16.6,22.7,19.7,9.7,9.5
2023-10-27,15.0,16.6,19.0,21.0,15.3,7.3,5.8
2023-12-22,14.3,15.4,17.2,23.4,16.6,6.4,6.7
